"","Screen","Name","marker"
"1","PEST06","2-Phenylphenol","X"
"2","PEST06","Acephate","X"
"3","PEST06","Aldrin and dieldrin","X"
"4","PEST06","Azinphos-methyl","X"
"5","PEST06","Azoxystrobin","X"
"6","PEST06","Benalaxyl","X"
"7","PEST06","Bifenthrin","X"
"8","PEST06","Bioresmethrin","X"
"9","PEST06","Bitertanol","X"
"10","PEST06","Boscalid","X"
"11","PEST06","Captan","X"
"12","PEST06","Carbaryl","X"
"13","PEST06","Carbendazim","X"
"14","PEST06","Chlorfenvinphos","X"
"15","PEST06","Chlorothalonil","X"
"16","PEST06","Chlorpyrifos","X"
"17","PEST06","Chlorpyrifos-methyl","X"
"18","PEST06","Chlorthal-dimethyl","X"
"19","PEST06","Cyfluthrin","X"
"20","PEST06","Cyhalothrin","X"
"21","PEST06","Cypermethrin","X"
"22","PEST06","Cyproconazole","X"
"23","PEST06","Cyprodinil","X"
"24","PEST06","DDT","X"
"25","PEST06","Deltamethrin","X"
"26","PEST06","Diazinon","X"
"27","PEST06","Dichlorvos","X"
"28","PEST06","Dicloran","X"
"29","PEST06","Dicofol","X"
"30","PEST06","Difenoconazole","X"
"31","PEST06","Dimethoate","X"
"32","PEST06","Dimethomorph","X"
"33","PEST06","Diphenylamine","X"
"34","PEST06","Disulfoton","X"
"35","PEST06","Diuron","X"
"36","PEST06","Endosulfan","X"
"37","PEST06","Endrin","X"
"38","PEST06","Ethoprofos","X"
"39","PEST06","Fenamiphos","X"
"40","PEST06","Fenarimol","X"
"41","PEST06","Fenhexamid","X"
"42","PEST06","Fenitrothion","X"
"43","PEST06","Fenoxycarb","X"
"44","PEST06","Fenpyroximate","X"
"45","PEST06","Fenthion","X"
"46","PEST06","Fenvalerate","X"
"47","PEST06","Fipronil","X"
"48","PEST06","Fludioxonil","X"
"49","PEST06","Flusilazole","X"
"50","PEST06","Hexachlorobenzene","X"
"51","PEST06","BHC","X"
"52","PEST06","Heptachlor","X"
"53","PEST06","Hexaconazole","X"
"54","PEST06","Hexythiazox","X"
"55","PEST06","Imazalil","X"
"56","PEST06","Indoxacarb","X"
"57","PEST06","Iprodione","X"
"58","PEST06","Kresoxim-methyl","X"
"59","PEST06","Lindane","X"
"60","PEST06","Linuron","X"
"61","PEST06","Malathion","X"
"62","PEST06","Metalaxyl","X"
"63","PEST06","Methamidophos","X"
"64","PEST06","Methidathion","X"
"65","PEST06","Methomyl","X"
"66","PEST06","Mevinphos","X"
"67","PEST06","Monocrotophos","X"
"68","PEST06","Myclobutanil","X"
"69","PEST06","Oxyfluorfen","X"
"70","PEST06","Paclobutrazol","X"
"71","PEST06","Parathion-ethyl","X"
"72","PEST06","Parathion-methyl","X"
"73","PEST06","Penconazole","X"
"74","PEST06","Pendimethalin","X"
"75","PEST06","Permethrin","X"
"76","PEST06","Phenothrin","X"
"77","PEST06","Phorate","X"
"78","PEST06","Phosmet","X"
"79","PEST06","Piperonyl-butoxide","X"
